,x,y,z
3398,492080.586,3968566.782,1299.489
3399,492094.715,3968558.569,1299.444
3399,492066.364,3968575.8,1299.613
3400,492063.917,3968576.734,1299.55
3400,492096.543,3968557.636,1299.47
3401,492061.7,3968577.755,1299.564
3401,492098.823,3968556.381,1299.497
3402,492059.3,3968578.884,1299.464
3402,492101.349,3968555.069,1299.442
3403,492103.27,3968554.186,1299.385
3403,492057.097,3968579.985,1299.536
3404,492105.815,3968553.047,1299.311
3404,492054.751,3968580.859,1299.47
3405,492108.313,3968552.588,1299.24
3405,492052.704,3968581.64,1299.475
3406,492050.345,3968582.507,1299.429
3406,492110.143,3968551.759,1299.236
3407,492048.305,3968583.303,1299.456
3407,492112.441,3968551.069,1299.282
3408,492114.58,3968550.407,1299.311
3408,492045.978,3968584.063,1299.381
3409,492043.619,3968584.789,1299.389
3409,492116.895,3968549.541,1299.384
3410,492041.707,3968585.777,1299.324
3410,492119.161,3968548.767,1299.407
3411,492121.811,3968547.917,1299.448
3411,492039.49,3968586.572,1299.292
3412,492037.238,3968587.225,1299.251
3412,492123.985,3968547.13,1299.573
3413,492034.697,3968588.065,1299.139
3413,492126.211,3968546.432,1299.673
3414,492128.903,3968545.79,1299.74
3414,492032.261,3968588.889,1299.144
3415,492130.992,3968545.088,1299.852
3415,492030.123,3968589.97,1299.189
3416,492133.206,3968544.529,1299.929
3416,492027.837,3968590.857,1299.158
3417,492135.807,3968543.924,1300.065
3417,492025.429,3968591.686,1299.189
3418,492138.097,3968543.398,1300.16
3418,492023.293,3968592.783,1299.219
3419,492020.997,3968593.918,1299.127
3419,492140.538,3968542.887,1300.249
3420,492018.966,3968595.168,1299.198
3420,492143.107,3968542.53,1300.366
3421,492016.646,3968596.503,1299.128
3421,492145.4,3968541.923,1300.461
3422,492014.577,3968597.699,1299.209
3422,492147.751,3968541.277,1300.646
3423,492150.089,3968540.786,1300.669
3423,492012.375,3968598.879,1299.186
3424,492152.421,3968540.099,1300.81
3424,492010.385,3968600.208,1299.231
3425,492154.847,3968539.611,1300.923
3425,492008.509,3968601.47,1299.252
3426,492006.372,3968602.53,1299.207
3426,492157.037,3968539.034,1301.02
3427,492004.321,3968603.84,1299.301
3427,492159.411,3968538.559,1301.048
3428,492002.178,3968602.908,1299.246
3428,492161.871,3968538.072,1301.055
3429,492001.4,3968600.414,1299.143
3429,492164.218,3968537.739,1301.073
3430,492003.018,3968598.922,1299.116
3430,492166.616,3968537.254,1301.167
3431,492004.807,3968597.385,1299.071
3431,492168.953,3968536.797,1301.226
3432,492006.681,3968596.059,1299.068
3432,492171.327,3968536.485,1301.222
3433,492173.55,3968536.228,1301.342
3433,492008.713,3968594.687,1298.954
3434,492175.861,3968535.818,1301.369
3434,492010.846,3968593.488,1298.972
3435,492178.052,3968535.461,1301.448
3435,492012.957,3968592.226,1298.878
3436,492014.954,3968590.979,1298.92
3436,492181.271,3968535.013,1301.529
3437,492017.136,3968589.679,1298.894
3437,492183.295,3968534.629,1301.524
3438,492019.42,3968588.705,1298.93
3438,492183.313,3968532.208,1301.511
3439,492022.017,3968587.861,1298.917
3439,492183.548,3968529.602,1301.672
3440,492183.893,3968527.359,1301.565
3440,492024.6,3968586.867,1298.884
3441,492183.02,3968525.524,1301.431
3441,492026.882,3968586.054,1298.979
3442,492182.843,3968523.229,1301.395
3442,492029.344,3968585.231,1298.97
3443,492182.223,3968521.244,1301.345
3443,492031.616,3968584.455,1298.995
3444,492179.606,3968521.215,1301.399
3444,492033.921,3968583.663,1299.108
3445,492036.189,3968582.751,1299.087
3445,492177.211,3968521.59,1301.243
3446,492174.471,3968521.951,1301.103
3446,492038.275,3968581.826,1299.159
3447,492040.544,3968580.91,1299.127
3447,492172.115,3968522.085,1301.001
3448,492042.79,3968580.007,1299.228
3448,492169.468,3968522.231,1300.902
3449,492167.026,3968522.332,1300.849
3449,492045.017,3968579.062,1299.282
3450,492164.85,3968522.428,1300.792
3450,492047.151,3968578.092,1299.277
3451,492049.612,3968576.969,1299.239
3451,492162.028,3968522.564,1300.77
3452,492159.932,3968522.524,1300.68
3452,492051.699,3968575.992,1299.252
3453,492157.878,3968522.647,1300.646
3453,492053.957,3968575.146,1299.297
3454,492056.205,3968574.198,1299.291
3454,492155.562,3968522.788,1300.596
3455,492058.465,3968573.245,1299.376
3455,492153.522,3968523.082,1300.514
3456,492151.043,3968523.468,1300.361
3456,492060.833,3968572.495,1299.376
3457,492063.212,3968571.744,1299.502
3457,492148.433,3968523.877,1300.096
3458,492065.5,3968571.054,1299.438
3458,492146.206,3968524.424,1299.947
3459,492143.852,3968524.936,1299.774
3459,492068.699,3968570.112,1299.485
3460,492071.085,3968569.58,1299.528
3460,492141.421,3968525.486,1299.626
3461,492138.994,3968526.158,1299.571
3461,492073.363,3968568.946,1299.515
3462,492136.26,3968526.874,1299.537
3462,492075.606,3968568.431,1299.462
3463,492133.777,3968527.608,1299.504
3463,492078.424,3968567.614,1299.516
3464,492080.576,3968567.129,1299.526
3464,492131.26,3968528.345,1299.404
3465,492082.602,3968566.276,1299.481
3465,492128.775,3968529.028,1299.295
3466,492084.795,3968565.857,1299.546
3466,492126.64,3968529.382,1299.266
3467,492124.141,3968530.203,1299.168
3467,492086.942,3968565.66,1299.58
3468,492089.835,3968564.606,1299.627
3468,492121.711,3968530.946,1299.045
3469,492091.974,3968563.534,1299.593
3469,492119.27,3968531.711,1298.913
3470,492095.176,3968562.412,1299.648
3470,492116.676,3968532.414,1298.93
3471,492114.549,3968532.502,1298.79
3471,492097.438,3968561.855,1299.702
3472,492099.644,3968561.272,1299.726
3472,492112.133,3968532.984,1298.702
3473,492105.72,3968546.974,1299.155
3474,492105.67,3968546.704,1299.136
3475,492105.38,3968546.493,1299.11
3476,492105.176,3968546.393,1299.058
3477,492104.588,3968546.532,1299.061
3478,492104.293,3968546.721,1298.98
3479,492104.473,3968546.678,1299.012
3480,492090.44,3968538.165,1298.302
3480,492117.844,3968555.317,1299.664
3481,492087.651,3968539.403,1298.262
3481,492120.079,3968554.969,1299.795
3482,492085.272,3968540.084,1298.364
3482,492122.402,3968554.953,1299.848
3483,492083.283,3968540.697,1298.348
3483,492124.75,3968554.643,1299.913
3484,492081.24,3968541.359,1298.34
3484,492126.775,3968553.878,1299.965
3485,492078.511,3968542.299,1298.325
3485,492128.77,3968552.943,1300.003
3486,492131.066,3968552.292,1300.033
3486,492075.917,3968543.538,1298.343
3487,492073.387,3968544.387,1298.274
3487,492133.296,3968551.241,1300.153
3488,492070.848,3968545.208,1298.261
3488,492135.335,3968550.459,1300.227
3489,492068.371,3968546.154,1298.193
3489,492137.617,3968549.9,1300.312
3490,492066.114,3968547.05,1298.21
3490,492139.875,3968549.247,1300.453
3491,492063.57,3968548.38,1298.232
3491,492142.425,3968548.341,1300.532
3492,492144.854,3968547.576,1300.684
3492,492060.861,3968549.421,1298.292
3493,492147.232,3968547.099,1300.777
3493,492058.843,3968550.044,1298.315
3494,492056.338,3968550.607,1298.286
3494,492149.49,3968546.582,1300.876
3495,492054.063,3968551.461,1298.268
3495,492151.503,3968545.95,1300.94
3496,492153.672,3968545.668,1300.991
3496,492052.103,3968552.323,1298.316
3497,492049.705,3968552.391,1298.24
3497,492155.666,3968545.237,1301.041
3498,492157.926,3968544.751,1301.115
3498,492047.769,3968553.098,1298.239
3499,492045.232,3968552.696,1298.24
3499,492160.002,3968544.486,1301.191
3500,492162.201,3968544.012,1301.239
3500,492043.682,3968550.996,1298.089
3501,492042.612,3968549.111,1298.032
3501,492164.599,3968543.695,1301.244
3502,492042.757,3968551.554,1298.083
3502,492166.751,3968543.148,1301.254
3503,492042.511,3968553.564,1298.105
3503,492169.132,3968542.429,1301.324
3504,492040.494,3968554.148,1298.19
3504,492171.395,3968541.768,1301.27
3505,492037.683,3968554.943,1298.265
3505,492173.723,3968541.236,1301.375
3506,492176.132,3968540.649,1301.45
3506,492035.731,3968555.496,1298.29
3507,492178.272,3968540.24,1301.489
3507,492033.698,3968555.964,1298.287
3508,492180.266,3968539.971,1301.586
3508,492031.662,3968556.756,1298.284
3509,492029.729,3968557.662,1298.25
3509,492180.553,3968537.908,1301.667
3510,492180.132,3968534.886,1301.706
3510,492027.627,3968558.366,1298.209
3511,492179.649,3968532.816,1301.617
3511,492025.708,3968558.993,1298.19
3512,492179.018,3968530.851,1301.567
3512,492023.514,3968559.564,1298.164
3513,492176.189,3968529.909,1301.37
3513,492021.524,3968560.119,1298.128
3514,492173.89,3968530.317,1301.18
3514,492019.187,3968560.753,1298.042
3515,492171.758,3968530.661,1301.168
3515,492017.029,3968561.167,1298.007
3516,492169.072,3968531.109,1301.096
3516,492014.312,3968561.75,1297.909
3517,492166.277,3968531.797,1301.069
3517,492012.211,3968562.152,1297.869
3518,492163.548,3968532.349,1301.019
3518,492009.92,3968562.236,1297.85
3519,492161.137,3968532.856,1300.959
3519,492007.802,3968562.515,1297.769
3520,492158.64,3968533.588,1300.941
3520,492005.539,3968562.998,1297.706
3521,492156.216,3968534.349,1300.904
3521,492003.536,3968563.276,1297.691
3522,492153.98,3968535.014,1300.87
3522,492001.436,3968563.884,1297.626
3523,492151.55,3968535.544,1300.708
3523,491999.055,3968564.505,1297.581
3524,492149.049,3968536.138,1300.556
3524,491996.931,3968565.139,1297.548
3525,491994.648,3968565.764,1297.493
3525,492146.318,3968536.636,1300.339
3526,492143.68,3968537.118,1300.206
3526,491992.49,3968566.42,1297.51
3527,491990.289,3968567.157,1297.554
3527,492141.125,3968537.637,1300.012
3528,491988.297,3968567.878,1297.603
3528,492139.041,3968538.431,1300.045
3529,491985.521,3968568.828,1297.668
3529,492136.691,3968539.225,1299.938
3530,491983.445,3968569.924,1297.682
3530,492134.192,3968540.02,1299.855
3531,491981.559,3968571.056,1297.68
3531,492132.027,3968540.775,1299.779
3532,491978.809,3968572.184,1297.64
3532,492129.64,3968541.544,1299.759
3533,491976.144,3968573.228,1297.626
3533,492127.52,3968542.208,1299.651
3534,491973.979,3968573.87,1297.583
3534,492124.307,3968543.288,1299.508
3535,491971.813,3968574.347,1297.54
3535,492122.159,3968544.15,1299.499
3536,491969.935,3968573.583,1297.422
3536,492119.345,3968545.468,1299.401
3537,492117.2,3968546.559,1299.368
3537,491968.5,3968571.219,1297.155
3538,491966.256,3968569.93,1297.125
3538,492115.168,3968547.675,1299.342
3539,492113.086,3968548.578,1299.26
3539,491964.944,3968568.241,1296.865
3540,492110.873,3968549.701,1299.24
3540,491967.15,3968567.23,1296.927
3541,492108.588,3968550.86,1299.132
3541,491968.812,3968565.879,1297.056
3542,491971.337,3968564.504,1297.129
3542,492106.489,3968551.81,1299.193
3543,491973.728,3968563.446,1297.125
3543,492104.299,3968552.854,1299.226
3544,492101.979,3968553.874,1299.296
3544,491976.654,3968562.18,1297.198
3545,491979.472,3968560.969,1297.33
3545,492099.832,3968555.033,1299.473
3546,492097.717,3968556.102,1299.385
3546,491982.174,3968559.901,1297.313
3547,492095.624,3968556.819,1299.442
3547,491984.778,3968559.016,1297.272
3548,491986.882,3968558.145,1297.25
3548,492093.595,3968557.524,1299.416
3549,492091.036,3968558.611,1299.38
3549,491989.118,3968557.081,1297.159
3550,491991.208,3968556.158,1297.248
3550,492088.929,3968559.713,1299.432
3551,492086.828,3968560.582,1299.386
